ManualStartDateTime,ManualEndDateTime,Label
2022-10-10 00:00:00,2022-10-10 16:42:28,N
2022-10-10 17:43:31,2022-10-10 17:46:09,N
2022-10-10 17:46:18,2022-10-10 18:02:01,N
2022-10-11 00:11:30,2022-10-11 16:43:12,N
2022-10-11 17:21:39,2022-10-11 17:29:38,N
2022-10-11 19:31:44,2022-10-11 19:43:53,N
2022-10-12 00:02:43,2022-10-12 15:41:06,N
2022-10-12 20:13:38,2022-10-12 20:19:30,N
2022-10-12 20:54:09,2022-10-12 20:59:59,N
2022-10-12 23:00:01,2022-10-12 23:59:59,N
2022-10-13 00:00:00,2022-10-13 17:50:10,N
2022-10-13 20:40:01,2022-10-13 20:46:34,N
2022-10-13 21:01:25,2022-10-13 21:07:59,N
2022-10-15 00:00:00,2022-10-15 23:59:59,N
2022-10-16 00:00:00,2022-10-16 23:59:59,N
2022-10-17 00:00:00,2022-10-17 16:41:10,N
2022-10-17 17:54:01,2022-10-17 18:09:59,N
2022-10-17 21:41:46,2022-10-17 23:59:59,N
2022-10-23 00:00:00,2022-10-23 23:59:59,N
2022-10-24 00:00:00,2022-10-24 14:50:06,N
2022-10-24 16:40:01,2022-10-24 16:50:08,N
2022-10-24 18:08:15,2022-10-24 18:11:49,N
2022-10-24 22:55:53,2022-10-24 23:59:59,N
2022-10-25 00:00:00,2022-10-25 15:17:28,N
2022-10-25 16:30:01,2022-10-25 16:31:02,N
2022-10-25 16:56:47,2022-10-25 17:01:31,N
2022-10-25 18:19:01,2022-10-25 18:31:11,N
2022-10-25 19:29:13,2022-10-25 19:30:13,N
2022-10-25 20:11:37,2022-10-25 20:17:43,N
2022-10-25 20:48:32,2022-10-25 20:49:59,N
2022-10-25 21:43:23,2022-10-25 23:59:59,N
2022-10-26 00:00:00,2022-10-26 16:35:07,N
2022-10-26 16:39:01,2022-10-26 16:43:43,N
2022-10-26 17:02:26,2022-10-26 17:13:31,N
2022-10-26 18:33:30,2022-10-26 18:48:29,N
2022-10-26 22:29:29,2022-10-26 23:59:59,N
2022-10-27 00:00:00,2022-10-27 15:58:50,N
2022-10-27 16:35:01,2022-10-27 16:39:33,N
2022-10-27 17:17:47,2022-10-27 17:19:31,N
2022-10-27 18:29:51,2022-10-27 18:34:39,N
2022-10-27 19:46:24,2022-10-27 20:02:10,N
2022-10-27 21:18:24,2022-10-27 23:59:59,N
2022-10-28 00:00:00,2022-10-28 15:46:56,N
