ManualStartDateTime,ManualEndDateTime,Label
2022-10-10 16:42:29,2022-10-10 17:00:00,NA
2022-10-10 17:30:09,2022-10-10 17:30:13,NA
2022-10-10 17:46:10,2022-10-10 17:46:17,NA
2022-10-11 00:00:00,2022-10-11 00:11:29,NA
2022-10-11 16:43:13,2022-10-11 17:16:17,NA
2022-10-11 17:29:39,2022-10-11 17:29:53,NA
2022-10-11 17:29:54,2022-10-11 17:29:59,NA
2022-10-11 19:43:54,2022-10-11 19:44:08,NA
2022-10-11 19:44:09,2022-10-11 19:44:11,NA
2022-10-11 21:16:36,2022-10-11 23:59:59,NA
2022-10-12 00:00:00,2022-10-12 00:02:42,NA
2022-10-12 15:41:07,2022-10-12 17:15:56,NA
2022-10-12 17:52:06,2022-10-12 17:52:17,NA
2022-10-12 19:43:36,2022-10-12 19:43:39,NA
2022-10-12 20:19:31,2022-10-12 20:19:47,NA
2022-10-12 20:19:48,2022-10-12 20:19:50,NA
2022-10-12 21:00:00,2022-10-12 23:00:00,NA
2022-10-13 17:50:11,2022-10-13 20:40:00,NA
2022-10-13 20:46:35,2022-10-13 20:46:57,NA
2022-10-13 20:46:58,2022-10-13 20:47:04,NA
2022-10-13 21:08:00,2022-10-13 23:59:59,NA
2022-10-14 00:00:00,2022-10-14 23:59:59,NA
2022-10-14 00:00:00,2022-10-14 23:59:59,NA
2022-10-17 16:41:11,2022-10-17 17:54:00,NA
2022-10-17 18:10:00,2022-10-17 21:41:45,NA
2022-10-18 00:00:00,2022-10-18 23:59:59,NA
2022-10-18 00:00:00,2022-10-18 23:59:59,NA
2022-10-19 00:00:00,2022-10-19 23:59:59,NA
2022-10-19 00:00:00,2022-10-19 23:59:59,NA
2022-10-20 00:00:00,2022-10-20 23:59:59,NA
2022-10-20 00:00:00,2022-10-20 23:59:59,NA
2022-10-21 00:00:00,2022-10-21 23:59:59,NA
2022-10-21 00:00:00,2022-10-21 23:59:59,NA
2022-10-22 00:00:00,2022-10-22 23:59:59,NA
2022-10-22 00:00:00,2022-10-22 23:59:59,NA
2022-10-24 14:50:07,2022-10-24 16:40:00,NA
2022-10-24 17:09:04,2022-10-24 17:09:17,NA
2022-10-24 17:58:45,2022-10-24 17:59:00,NA
2022-10-24 18:34:03,2022-10-24 18:34:13,NA
2022-10-24 18:55:21,2022-10-24 18:55:50,NA
2022-10-24 19:27:19,2022-10-24 19:27:43,NA
2022-10-24 19:49:42,2022-10-24 19:49:59,NA
2022-10-24 19:50:00,2022-10-24 22:55:52,NA
2022-10-25 15:17:29,2022-10-25 16:30:00,NA
2022-10-25 16:31:03,2022-10-25 16:31:04,NA
2022-10-25 16:31:05,2022-10-25 16:31:35,NA
2022-10-25 17:07:41,2022-10-25 17:07:44,NA
2022-10-25 17:17:26,2022-10-25 17:17:38,NA
2022-10-25 17:23:50,2022-10-25 17:23:55,NA
2022-10-25 17:36:24,2022-10-25 17:37:08,NA
2022-10-25 17:43:54,2022-10-25 17:44:09,NA
2022-10-25 18:10:32,2022-10-25 18:10:34,NA
2022-10-25 18:12:30,2022-10-25 18:12:41,NA
2022-10-25 18:31:12,2022-10-25 18:31:12,NA
2022-10-25 18:31:13,2022-10-25 18:31:17,NA
2022-10-25 18:34:00,2022-10-25 18:34:06,NA
2022-10-25 18:50:39,2022-10-25 18:51:03,NA
2022-10-25 18:51:04,2022-10-25 18:51:04,NA
2022-10-25 18:51:05,2022-10-25 18:51:13,NA
2022-10-25 19:15:56,2022-10-25 19:16:05,NA
2022-10-25 19:35:35,2022-10-25 19:35:53,NA
2022-10-25 19:40:27,2022-10-25 19:40:32,NA
2022-10-25 19:49:14,2022-10-25 19:49:48,NA
2022-10-25 20:17:44,2022-10-25 20:18:03,NA
2022-10-25 20:18:04,2022-10-25 20:18:25,NA
2022-10-25 20:50:00,2022-10-25 21:43:22,NA
2022-10-26 16:35:08,2022-10-26 16:39:00,NA
2022-10-26 16:43:44,2022-10-26 16:43:44,NA
2022-10-26 16:43:45,2022-10-26 16:43:52,NA
2022-10-26 17:27:11,2022-10-26 17:27:23,NA
2022-10-26 18:01:28,2022-10-26 18:01:33,NA
2022-10-26 19:03:05,2022-10-26 19:03:06,NA
2022-10-26 19:22:26,2022-10-26 19:22:38,NA
2022-10-26 19:38:54,2022-10-26 19:38:59,NA
2022-10-26 19:48:25,2022-10-26 19:48:26,NA
2022-10-26 19:57:35,2022-10-26 19:57:42,NA
2022-10-26 20:09:46,2022-10-26 20:09:54,NA
2022-10-26 20:25:29,2022-10-26 20:25:29,NA
2022-10-26 20:25:30,2022-10-26 20:25:35,NA
2022-10-26 20:25:36,2022-10-26 20:25:39,NA
2022-10-26 20:33:26,2022-10-26 20:33:28,NA
2022-10-26 20:33:29,2022-10-26 20:33:32,NA
2022-10-26 20:33:33,2022-10-26 20:33:40,NA
2022-10-26 20:40:55,2022-10-26 22:29:28,NA
2022-10-27 15:58:51,2022-10-27 16:35:00,NA
2022-10-27 16:39:34,2022-10-27 16:39:35,NA
2022-10-27 16:39:36,2022-10-27 16:39:36,NA
2022-10-27 16:39:37,2022-10-27 16:40:03,NA
2022-10-27 16:40:04,2022-10-27 16:40:04,NA
2022-10-27 16:47:28,2022-10-27 16:47:29,NA
2022-10-27 17:51:56,2022-10-27 17:52:01,NA
2022-10-27 18:04:44,2022-10-27 18:04:47,NA
2022-10-27 19:00:23,2022-10-27 19:00:24,NA
2022-10-27 20:02:11,2022-10-27 20:02:33,NA
2022-10-27 20:02:34,2022-10-27 20:02:34,NA
2022-10-27 20:13:23,2022-10-27 20:14:14,NA
2022-10-27 20:14:15,2022-10-27 21:18:23,NA
2022-10-28 15:46:57,2022-10-28 16:40:00,NA
2022-10-28 16:40:01,2022-10-28 16:40:19,NA
2022-10-28 16:40:20,2022-10-28 16:40:21,NA
2022-10-28 16:40:22,2022-10-28 16:40:27,NA
2022-10-28 16:58:06,2022-10-28 16:58:10,NA
2022-10-28 17:49:29,2022-10-28 17:49:31,NA
2022-10-28 17:49:32,2022-10-28 17:49:45,NA
2022-10-28 17:49:46,2022-10-28 17:49:53,NA
2022-10-28 17:55:59,2022-10-28 17:56:08,NA
2022-10-28 17:59:45,2022-10-28 17:59:48,NA
2022-10-28 18:05:39,2022-10-28 18:05:51,NA
2022-10-28 18:08:41,2022-10-28 18:08:43,NA
2022-10-28 18:16:14,2022-10-28 18:16:28,NA
2022-10-28 18:21:28,2022-10-28 18:21:30,NA
2022-10-28 18:31:36,2022-10-28 18:31:36,NA
2022-10-28 18:31:37,2022-10-28 18:31:37,NA
2022-10-28 18:34:22,2022-10-28 18:34:24,NA
2022-10-28 18:40:41,2022-10-28 18:41:01,NA
2022-10-28 18:56:41,2022-10-28 18:56:41,NA
2022-10-28 19:04:58,2022-10-28 19:05:07,NA
2022-10-28 19:38:49,2022-10-28 19:38:54,NA
2022-10-28 19:45:25,2022-10-28 19:45:32,NA
2022-10-28 19:51:56,2022-10-28 19:52:00,NA
2022-10-28 19:56:30,2022-10-28 19:56:38,NA
2022-10-28 20:01:49,2022-10-28 20:01:54,NA
2022-10-28 20:09:15,2022-10-28 20:09:21,NA
2022-10-28 20:09:22,2022-10-28 20:09:22,NA
2022-10-28 20:09:23,2022-10-28 20:09:26,NA
2022-10-28 20:14:34,2022-10-28 20:14:38,NA
2022-10-28 20:21:17,2022-10-28 20:21:55,NA
2022-10-28 20:24:41,2022-10-28 20:24:50,NA
2022-10-28 20:34:14,2022-10-28 20:34:24,NA
2022-10-28 20:36:55,2022-10-28 20:36:55,NA
2022-10-28 21:00:21,2022-10-28 21:00:33,NA
2022-10-28 21:07:20,2022-10-28 21:48:07,NA
2022-10-28 21:48:08,2022-10-28 21:48:59,NA
2022-10-28 21:54:23,2022-10-28 21:54:37,NA
2022-10-28 22:18:46,2022-10-28 22:19:42,NA
2022-10-29 15:31:04,2022-10-29 16:25:01,NA
2022-10-29 16:25:02,2022-10-29 16:25:46,NA
2022-10-29 17:25:32,2022-10-29 17:25:41,NA
2022-10-29 17:25:42,2022-10-29 17:25:42,NA
2022-10-29 17:25:43,2022-10-29 17:25:48,NA
2022-10-29 17:29:33,2022-10-29 17:29:44,NA
2022-10-29 17:43:11,2022-10-29 17:43:21,NA
2022-10-29 17:43:22,2022-10-29 17:43:22,NA
2022-10-29 17:43:23,2022-10-29 17:43:24,NA
2022-10-29 17:43:25,2022-10-29 17:43:46,NA
2022-10-29 17:43:47,2022-10-29 17:43:48,NA
2022-10-29 17:51:08,2022-10-29 17:51:20,NA
2022-10-29 18:21:42,2022-10-29 18:21:42,NA
2022-10-29 18:42:29,2022-10-29 18:42:35,NA
2022-10-29 19:49:31,2022-10-29 19:50:05,NA
2022-10-29 20:00:57,2022-10-29 20:01:02,NA
2022-10-29 20:29:48,2022-10-29 20:30:00,NA
2022-10-29 20:43:23,2022-10-29 20:43:29,NA
2022-10-29 21:05:54,2022-10-29 21:05:56,NA
2022-10-29 21:11:08,2022-10-29 21:26:20,NA
2022-10-30 16:01:35,2022-10-30 16:01:46,NA
2022-10-30 16:05:13,2022-10-30 16:05:16,NA
2022-10-31 16:13:24,2022-10-31 17:02:00,NA
2022-10-31 17:23:43,2022-10-31 17:23:44,NA
2022-10-31 17:29:49,2022-10-31 17:30:02,NA
2022-10-31 17:48:35,2022-10-31 17:48:35,NA
2022-10-31 17:55:08,2022-10-31 17:55:11,NA
2022-10-31 17:58:57,2022-10-31 17:58:57,NA
2022-10-31 18:04:50,2022-10-31 18:05:00,NA
2022-10-31 18:15:12,2022-10-31 18:15:19,NA
2022-10-31 18:21:43,2022-10-31 18:21:43,NA
2022-10-31 18:32:00,2022-10-31 18:32:33,NA
2022-10-31 18:32:34,2022-10-31 18:32:34,NA
2022-10-31 18:38:32,2022-10-31 18:38:35,NA
2022-10-31 18:49:16,2022-10-31 18:49:26,NA
2022-10-31 19:03:05,2022-10-31 19:03:08,NA
2022-10-31 19:06:08,2022-10-31 19:06:15,NA
2022-10-31 19:13:17,2022-10-31 19:13:23,NA
2022-10-31 19:34:25,2022-10-31 19:34:28,NA
2022-10-31 19:37:49,2022-10-31 19:37:51,NA
2022-10-31 19:37:52,2022-10-31 19:38:05,NA
2022-10-31 19:38:06,2022-10-31 19:38:48,NA
2022-10-31 19:45:33,2022-10-31 19:45:42,NA
2022-10-31 19:51:25,2022-10-31 19:51:25,NA
2022-10-31 19:56:18,2022-10-31 19:56:22,NA
2022-10-31 20:12:31,2022-10-31 20:12:38,NA
2022-10-31 20:19:11,2022-10-31 20:19:17,NA
2022-10-31 20:26:44,2022-10-31 20:26:45,NA
2022-10-31 20:30:58,2022-10-31 20:31:15,NA
2022-10-31 20:53:53,2022-10-31 20:53:57,NA
2022-10-31 21:14:46,2022-10-31 21:14:50,NA
2022-10-31 21:14:51,2022-10-31 21:14:59,NA
2022-10-31 21:15:00,2022-10-31 21:19:20,NA
2022-11-01 17:31:36,2022-11-01 18:00:00,NA
2022-11-01 18:15:18,2022-11-01 18:15:31,NA
2022-11-01 18:30:45,2022-11-01 18:31:30,NA
2022-11-01 19:05:00,2022-11-01 19:13:00,NA
2022-11-01 19:13:01,2022-11-01 19:13:07,NA
2022-11-02 16:20:02,2022-11-02 16:38:20,NA
2022-11-02 16:38:21,2022-11-02 16:39:07,NA
2022-11-02 17:26:02,2022-11-02 17:26:04,NA
2022-11-02 18:09:04,2022-11-02 18:09:20,NA
2022-11-02 18:09:21,2022-11-02 18:09:59,NA
2022-11-02 18:10:00,2022-11-02 18:56:07,NA
2022-11-03 17:36:11,2022-11-03 17:45:00,NA
2022-11-03 17:48:57,2022-11-03 17:48:57,NA
2022-11-03 18:04:12,2022-11-03 18:04:19,NA
2022-11-03 18:10:00,2022-11-03 18:56:07,NA
2022-11-04 15:38:09,2022-11-04 16:43:19,NA
2022-11-04 17:03:01,2022-11-04 17:03:09,NA
2022-11-04 18:40:48,2022-11-04 18:40:54,NA
2022-11-04 20:32:00,2022-11-04 20:50:49,NA
2022-11-07 16:34:50,2022-11-07 17:59:44,NA
2022-11-07 22:09:13,2022-11-07 22:13:54,NA
2022-11-08 17:52:09,2022-11-08 18:09:24,NA
2022-11-08 20:34:58,2022-11-08 20:35:03,NA
2022-11-08 20:55:35,2022-11-08 20:55:58,NA
2022-11-08 22:15:22,2022-11-08 22:15:41,NA
2022-11-08 22:57:16,2022-11-08 22:57:16,NA
2022-11-08 23:27:38,2022-11-08 23:27:39,NA
2022-11-08 23:55:03,2022-11-08 23:59:09,NA
2022-11-08 23:59:10,2022-11-08 23:59:59,NA
2022-11-10 17:05:08,2022-11-10 17:49:21,NA
2022-11-10 18:33:40,2022-11-10 18:34:06,NA
2022-11-10 19:16:20,2022-11-10 19:16:32,NA
2022-11-10 21:50:26,2022-11-10 21:50:30,NA
2022-11-10 22:05:02,2022-11-10 22:08:55,NA
2022-11-11 17:08:39,2022-11-11 17:43:45,NA
2022-11-11 19:35:49,2022-11-11 19:36:42,NA
2022-11-11 20:08:58,2022-11-11 20:09:15,NA
2022-11-11 22:27:29,2022-11-11 22:27:30,NA
2022-11-11 23:42:00,2022-11-11 23:45:52,NA
2022-11-14 16:58:15,2022-11-14 17:25:00,NA
2022-11-14 18:30:03,2022-11-14 18:30:25,NA
2022-11-14 18:30:26,2022-11-14 18:30:47,NA
2022-11-14 18:30:48,2022-11-14 18:30:51,NA
2022-11-14 18:49:48,2022-11-14 18:49:50,NA
2022-11-14 18:49:51,2022-11-14 18:49:53,NA
2022-11-14 18:49:54,2022-11-14 18:49:55,NA
2022-11-14 18:52:48,2022-11-14 18:52:50,NA
2022-11-14 18:55:47,2022-11-14 18:55:53,NA
2022-11-14 18:56:55,2022-11-14 18:56:57,NA
2022-11-14 18:56:58,2022-11-14 18:57:36,NA
2022-11-14 18:57:37,2022-11-14 18:57:39,NA
2022-11-14 18:57:40,2022-11-14 18:58:36,NA
2022-11-14 18:58:37,2022-11-14 18:58:40,NA
2022-11-14 18:58:41,2022-11-14 18:59:14,NA
2022-11-14 18:59:15,2022-11-14 18:59:16,NA
2022-11-14 18:59:17,2022-11-14 18:59:41,NA
2022-11-14 18:59:42,2022-11-14 18:59:42,NA
2022-11-14 18:59:43,2022-11-14 19:00:00,NA
2022-11-14 19:00:01,2022-11-14 19:00:05,NA
2022-11-14 19:00:06,2022-11-14 19:00:14,NA
2022-11-14 19:00:15,2022-11-14 19:00:15,NA
2022-11-14 19:00:16,2022-11-14 19:00:18,NA
2022-11-14 19:00:19,2022-11-14 19:00:19,NA
2022-11-14 19:00:20,2022-11-14 19:00:28,NA
2022-11-14 19:00:29,2022-11-14 19:00:30,NA
2022-11-14 19:02:31,2022-11-14 19:02:32,NA
2022-11-14 19:02:33,2022-11-14 19:02:50,NA
2022-11-14 19:02:51,2022-11-14 19:02:51,NA
2022-11-14 19:02:52,2022-11-14 19:03:16,NA
2022-11-14 19:03:17,2022-11-14 19:03:20,NA
2022-11-14 19:03:21,2022-11-14 19:03:46,NA
2022-11-14 19:03:47,2022-11-14 19:03:47,NA
2022-11-14 19:03:48,2022-11-14 19:04:47,NA
2022-11-14 19:04:48,2022-11-14 19:04:50,NA
2022-11-14 19:04:51,2022-11-14 19:05:10,NA
2022-11-14 19:05:11,2022-11-14 19:05:16,NA
2022-11-14 19:05:17,2022-11-14 19:05:17,NA
2022-11-14 19:05:18,2022-11-14 19:05:20,NA
2022-11-14 19:05:21,2022-11-14 19:05:25,NA
2022-11-14 19:05:26,2022-11-14 19:05:27,NA
2022-11-14 19:05:28,2022-11-14 19:05:53,NA
2022-11-14 19:05:54,2022-11-14 19:05:54,NA
2022-11-14 19:05:55,2022-11-14 19:06:08,NA
2022-11-14 19:06:09,2022-11-14 19:06:09,NA
2022-11-14 19:06:10,2022-11-14 19:06:14,NA
2022-11-14 19:06:15,2022-11-14 19:06:15,NA
2022-11-14 19:07:24,2022-11-14 19:07:25,NA
2022-11-14 19:08:30,2022-11-14 19:08:30,NA
2022-11-14 19:08:31,2022-11-14 19:09:02,NA
2022-11-14 19:09:03,2022-11-14 19:09:03,NA
2022-11-14 19:09:04,2022-11-14 19:09:30,NA
2022-11-14 19:09:31,2022-11-14 19:09:34,NA
2022-11-14 19:09:35,2022-11-14 19:10:18,NA
2022-11-14 19:10:19,2022-11-14 19:10:22,NA
2022-11-14 19:10:23,2022-11-14 19:10:39,NA
2022-11-14 19:10:40,2022-11-14 19:10:43,NA
2022-11-14 19:10:44,2022-11-14 19:11:05,NA
2022-11-14 19:11:06,2022-11-14 19:11:06,NA
2022-11-14 19:11:07,2022-11-14 19:11:39,NA
2022-11-14 19:11:40,2022-11-14 19:11:46,NA
2022-11-14 19:11:47,2022-11-14 19:11:58,NA
2022-11-14 19:11:59,2022-11-14 19:12:10,NA
2022-11-14 19:12:11,2022-11-14 19:12:13,NA
2022-11-14 19:12:14,2022-11-14 19:12:16,NA
2022-11-14 19:12:17,2022-11-14 19:12:41,NA
2022-11-14 19:12:42,2022-11-14 19:12:45,NA
2022-11-14 19:12:46,2022-11-14 19:13:03,NA
2022-11-14 19:13:04,2022-11-14 19:13:06,NA
2022-11-14 19:13:07,2022-11-14 19:13:11,NA
2022-11-14 19:13:12,2022-11-14 19:13:13,NA
2022-11-14 19:13:14,2022-11-14 19:13:15,NA
2022-11-14 19:13:16,2022-11-14 19:13:21,NA
2022-11-14 19:13:22,2022-11-14 19:13:35,NA
2022-11-14 19:13:36,2022-11-14 19:13:55,NA
2022-11-14 19:13:56,2022-11-14 19:14:06,NA
2022-11-14 19:14:07,2022-11-14 19:14:07,NA
2022-11-14 19:14:08,2022-11-14 19:14:29,NA
2022-11-14 19:14:30,2022-11-14 19:14:36,NA
2022-11-14 19:14:37,2022-11-14 19:15:13,NA
2022-11-14 19:15:14,2022-11-14 19:15:14,NA
2022-11-14 19:15:15,2022-11-14 19:15:21,NA
2022-11-14 19:15:22,2022-11-14 19:15:23,NA
2022-11-14 19:15:24,2022-11-14 19:15:37,NA
2022-11-14 19:15:38,2022-11-14 19:15:39,NA
