ManualStartDateTime,ManualEndDateTime,Label
2022-10-10 17:00:01,2022-10-10 17:03:27,P
2022-10-10 17:30:14,2022-10-10 17:43:30,P
2022-10-10 18:02:02,2022-10-10 21:35:59,P
2022-10-11 17:16:18,2022-10-11 17:21:38,P
2022-10-11 17:30:00,2022-10-11 19:31:43,P
2022-10-11 19:44:12,2022-10-11 21:16:35,P
2022-10-12 17:15:57,2022-10-12 17:52:05,P
2022-10-12 17:52:18,2022-10-12 19:43:35,P
2022-10-12 19:43:40,2022-10-12 20:13:37,P
2022-10-12 20:19:51,2022-10-12 20:54:08,P
2022-10-13 20:47:05,2022-10-13 21:01:24,P
2022-10-24 16:50:09,2022-10-24 17:09:03,P
2022-10-24 17:09:18,2022-10-24 17:58:44,P
2022-10-24 17:59:01,2022-10-24 18:08:14,P
2022-10-24 18:11:50,2022-10-24 18:34:02,P
2022-10-24 18:34:14,2022-10-24 18:55:20,P
2022-10-24 18:55:51,2022-10-24 19:27:18,P
2022-10-24 19:27:44,2022-10-24 19:49:41,P
2022-10-25 16:31:36,2022-10-25 16:56:46,P
2022-10-25 17:01:32,2022-10-25 17:07:40,P
2022-10-25 17:07:45,2022-10-25 17:17:25,P
2022-10-25 17:17:39,2022-10-25 17:23:49,P
2022-10-25 17:23:56,2022-10-25 17:36:23,P
2022-10-25 17:37:09,2022-10-25 17:43:53,P
2022-10-25 17:44:10,2022-10-25 18:10:31,P
2022-10-25 18:10:35,2022-10-25 18:12:29,P
2022-10-25 18:12:42,2022-10-25 18:19:00,P
2022-10-25 18:31:18,2022-10-25 18:33:59,P
2022-10-25 18:34:07,2022-10-25 18:50:38,P
2022-10-25 18:51:14,2022-10-25 19:15:55,P
2022-10-25 19:16:06,2022-10-25 19:29:12,P
2022-10-25 19:30:14,2022-10-25 19:35:34,P
2022-10-25 19:35:54,2022-10-25 19:40:26,P
2022-10-25 19:40:33,2022-10-25 19:49:13,P
2022-10-25 19:49:49,2022-10-25 20:11:36,P
2022-10-25 20:18:26,2022-10-25 20:48:31,P
2022-10-26 16:43:53,2022-10-26 17:02:25,P
2022-10-26 17:13:32,2022-10-26 17:27:10,P
2022-10-26 17:27:24,2022-10-26 18:01:27,P
2022-10-26 18:01:34,2022-10-26 18:33:29,P
2022-10-26 18:48:30,2022-10-26 19:03:04,P
2022-10-26 19:03:07,2022-10-26 19:22:25,P
2022-10-26 19:22:39,2022-10-26 19:38:53,P
2022-10-26 19:39:00,2022-10-26 19:48:24,P
2022-10-26 19:48:27,2022-10-26 19:57:34,P
2022-10-26 19:57:43,2022-10-26 20:09:45,P
2022-10-26 20:09:55,2022-10-26 20:25:28,P
2022-10-26 20:25:40,2022-10-26 20:33:25,P
2022-10-26 20:33:41,2022-10-26 20:40:54,P
2022-10-27 16:40:05,2022-10-27 16:47:27,P
2022-10-27 16:47:30,2022-10-27 17:17:46,P
2022-10-27 17:19:32,2022-10-27 17:51:55,P
2022-10-27 17:52:02,2022-10-27 18:04:43,P
2022-10-27 18:04:48,2022-10-27 18:29:50,P
2022-10-27 18:34:40,2022-10-27 19:00:22,P
2022-10-27 19:00:25,2022-10-27 19:46:23,P
2022-10-27 20:02:35,2022-10-27 20:13:22,P
2022-10-28 16:40:28,2022-10-28 16:58:05,P
2022-10-28 16:58:11,2022-10-28 17:04:12,P
2022-10-28 17:07:28,2022-10-28 17:49:28,P
2022-10-28 17:49:54,2022-10-28 17:55:58,P
2022-10-28 17:56:09,2022-10-28 17:59:44,P
2022-10-28 17:59:49,2022-10-28 18:05:38,P
2022-10-28 18:05:52,2022-10-28 18:08:40,P
2022-10-28 18:08:44,2022-10-28 18:16:13,P
2022-10-28 18:16:29,2022-10-28 18:21:27,P
2022-10-28 18:21:31,2022-10-28 18:28:36,P
2022-10-28 18:31:38,2022-10-28 18:34:21,P
2022-10-28 18:34:25,2022-10-28 18:40:40,P
2022-10-28 18:41:02,2022-10-28 18:50:33,P
2022-10-28 18:54:00,2022-10-28 18:56:40,P
2022-10-28 18:56:42,2022-10-28 19:04:57,P
2022-10-28 19:05:08,2022-10-28 19:11:42,P
2022-10-28 19:20:03,2022-10-28 19:38:48,P
2022-10-28 19:38:55,2022-10-28 19:45:24,P
2022-10-28 19:45:33,2022-10-28 19:51:55,P
2022-10-28 19:52:01,2022-10-28 19:56:29,P
2022-10-28 19:56:39,2022-10-28 20:01:48,P
2022-10-28 20:01:55,2022-10-28 20:09:14,P
2022-10-28 20:09:27,2022-10-28 20:14:33,P
2022-10-28 20:14:39,2022-10-28 20:21:16,P
2022-10-28 20:21:56,2022-10-28 20:24:40,P
2022-10-28 20:24:51,2022-10-28 20:34:13,P
2022-10-28 20:34:25,2022-10-28 20:36:54,P
2022-10-28 20:36:56,2022-10-28 21:00:20,P
2022-10-28 21:00:34,2022-10-28 21:07:19,P
2022-10-28 21:49:00,2022-10-28 21:54:22,P
2022-10-28 21:54:38,2022-10-28 21:59:01,P
2022-10-28 22:01:59,2022-10-28 22:18:45,P
2022-10-28 22:19:43,2022-10-28 22:23:33,P
2022-10-28 22:26:23,2022-10-28 22:31:18,P
2022-10-28 22:34:53,2022-10-28 22:38:19,P
2022-10-29 16:25:47,2022-10-29 16:51:25,P
2022-10-29 17:03:54,2022-10-29 17:25:31,P
2022-10-29 17:25:49,2022-10-29 17:29:32,P
2022-10-29 17:29:45,2022-10-29 17:43:10,P
2022-10-29 17:43:49,2022-10-29 17:51:07,P
2022-10-29 17:51:21,2022-10-29 18:21:41,P
2022-10-29 18:21:43,2022-10-29 18:42:28,P
2022-10-29 18:42:36,2022-10-29 19:49:30,P
2022-10-29 19:50:06,2022-10-29 20:00:56,P
2022-10-29 20:01:03,2022-10-29 20:29:47,P
2022-10-29 20:30:01,2022-10-29 20:43:22,P
2022-10-29 20:43:30,2022-10-29 21:05:53,P
2022-10-29 21:05:57,2022-10-29 21:11:07,P
2022-10-30 15:54:38,2022-10-30 16:01:34,P
2022-10-30 16:01:47,2022-10-30 16:05:12,P
2022-10-30 16:05:17,2022-10-30 16:07:39,P
2022-10-30 16:20:42,2022-10-30 16:25:44,P
2022-10-30 16:30:10,2022-10-30 16:34:56,P
2022-10-31 17:02:01,2022-10-31 17:23:42,P
2022-10-31 17:23:45,2022-10-31 17:29:48,P
2022-10-31 17:30:03,2022-10-31 17:48:34,P
2022-10-31 17:48:36,2022-10-31 17:55:07,P
2022-10-31 17:55:12,2022-10-31 17:58:56,P
2022-10-31 17:58:58,2022-10-31 18:04:49,P
2022-10-31 18:05:01,2022-10-31 18:15:11,P
2022-10-31 18:15:20,2022-10-31 18:21:42,P
2022-10-31 18:21:44,2022-10-31 18:28:28,P
2022-10-31 18:32:35,2022-10-31 18:38:31,P
2022-10-31 18:38:36,2022-10-31 18:49:15,P
2022-10-31 18:49:27,2022-10-31 18:56:02,P
2022-10-31 18:59:37,2022-10-31 19:03:04,P
2022-10-31 19:03:09,2022-10-31 19:06:07,P
2022-10-31 19:06:16,2022-10-31 19:13:16,P
2022-10-31 19:13:24,2022-10-31 19:17:30,P
2022-10-31 19:24:27,2022-10-31 19:34:24,P
2022-10-31 19:34:29,2022-10-31 19:37:48,P
2022-10-31 19:38:49,2022-10-31 19:45:32,P
2022-10-31 19:45:43,2022-10-31 19:51:24,P
2022-10-31 19:51:26,2022-10-31 19:56:17,P
2022-10-31 19:56:23,2022-10-31 20:01:45,P
2022-10-31 20:08:53,2022-10-31 20:12:30,P
