ManualStartDateTime,ManualEndDateTime,Label
2022-10-10 16:42:29,2022-10-10 17:00:00,NA
2022-10-10 17:30:09,2022-10-10 17:30:13,NA
2022-10-10 21:38:14,2022-10-10 23:59:59,NA
2022-10-11 00:00:00,2022-10-11 00:11:29,NA
2022-10-11 16:43:13,2022-10-11 17:16:17,NA
2022-10-11 21:20:53,2022-10-11 23:59:59,NA
2022-10-12 00:00:00,2022-10-12 00:02:42,NA
2022-10-12 15:41:07,2022-10-12 17:15:56,NA
2022-10-12 21:00:00,2022-10-12 23:00:00,NA
2022-10-13 17:50:11,2022-10-13 20:40:00,NA
2022-10-13 21:08:00,2022-10-13 23:59:59,NA
2022-10-14 00:00:00,2022-10-14 23:59:59,NA
2022-10-17 16:41:11,2022-10-17 17:54:00,NA
2022-10-17 18:10:00,2022-10-17 21:41:45,NA
2022-10-18 00:00:00,2022-10-18 23:59:59,NA
2022-10-19 00:00:00,2022-10-19 23:59:59,NA
2022-10-20 00:00:00,2022-10-20 23:59:59,NA
2022-10-21 00:00:00,2022-10-21 23:59:59,NA
2022-10-22 00:00:00,2022-10-22 23:59:59,NA
2022-10-24 14:50:07,2022-10-24 16:40:00,NA
2022-10-24 19:50:39,2022-10-24 22:55:52,NA
2022-10-25 15:17:29,2022-10-25 16:30:00,NA
2022-10-25 20:50:48,2022-10-25 21:43:22,NA
2022-10-26 16:35:08,2022-10-26 16:39:00,NA
2022-10-26 20:42:51,2022-10-26 22:29:28,NA
2022-10-27 15:58:51,2022-10-27 16:35:00,NA
2022-10-27 20:14:47,2022-10-27 21:18:23,NA
2022-10-28 15:46:57,2022-10-28 16:40:00,NA
2022-10-28 16:40:01,2022-10-28 16:40:19,NA
2022-10-28 21:08:43,2022-10-28 21:48:07,NA
2022-10-28 21:48:08,2022-10-28 21:48:59,NA
2022-10-28 22:01:44,2022-10-28 22:01:58,NA
2022-10-28 22:25:41,2022-10-28 22:26:22,NA
2022-10-29 15:31:04,2022-10-29 16:25:01,NA
2022-10-29 16:25:02,2022-10-29 16:25:46,NA
2022-10-29 21:12:53,2022-10-29 21:26:20,NA
2022-10-31 16:13:24,2022-10-31 17:02:00,NA
2022-10-31 21:18:32,2022-10-31 21:19:20,NA
2022-11-01 17:31:36,2022-11-01 18:00:00,NA
2022-11-01 19:05:00,2022-11-01 19:13:00,NA
2022-11-02 16:20:02,2022-11-02 16:38:20,NA
2022-11-02 16:38:21,2022-11-02 16:39:07,NA
2022-11-02 18:11:25,2022-11-02 18:56:07,NA
2022-11-03 17:36:11,2022-11-03 17:45:00,NA
2022-11-03 18:11:24,2022-11-03 18:56:07,NA
2022-11-04 15:38:09,2022-11-04 16:43:19,NA
2022-11-04 20:34:41,2022-11-04 20:50:49,NA
2022-11-07 16:34:50,2022-11-07 17:59:44,NA
2022-11-07 22:10:11,2022-11-07 22:13:54,NA
2022-11-08 17:52:09,2022-11-08 18:09:24,NA
2022-11-08 23:56:07,2022-11-08 23:59:09,NA
2022-11-08 23:59:10,2022-11-08 23:59:59,NA
2022-11-10 17:05:08,2022-11-10 17:49:21,NA
2022-11-10 22:06:14,2022-11-10 22:08:55,NA
2022-11-11 17:08:39,2022-11-11 17:43:45,NA
2022-11-11 23:08:38,2022-11-11 23:09:27,NA
2022-11-11 23:43:19,2022-11-11 23:45:52,NA
2022-11-14 16:58:15,2022-11-14 17:25:00,NA
2022-11-14 21:55:04,2022-11-14 21:56:01,NA
2022-11-14 22:38:06,2022-11-14 22:38:18,NA
2022-11-15 16:16:52,2022-11-15 16:25:00,NA
2022-11-15 16:25:01,2022-11-15 16:25:27,NA
2022-11-15 22:13:22,2022-11-15 22:15:24,NA
2022-11-16 16:01:16,2022-11-16 16:02:00,NA
2022-11-17 18:34:57,2022-11-17 18:35:06,NA
2022-11-17 22:04:02,2022-11-17 22:04:56,NA
2022-11-18 14:59:13,2022-11-18 15:00:00,NA
2022-11-18 18:32:33,2022-11-18 18:35:55,NA
2022-11-21 15:19:13,2022-11-21 15:35:00,NA
2022-11-21 22:23:42,2022-11-21 22:37:40,NA
2022-11-22 16:36:00,2022-11-22 16:40:00,NA
2022-11-22 16:40:01,2022-11-22 16:40:50,NA
2022-11-23 16:18:43,2022-11-23 16:28:00,NA
2022-11-23 22:03:23,2022-11-23 22:10:21,NA
2022-11-28 16:24:19,2022-11-28 16:30:00,NA
2022-11-28 18:30:19,2022-11-28 18:30:57,NA
2022-11-29 17:25:23,2022-11-29 17:29:21,NA
