EmissionStartDateTime,EmissionEndDateTime,Reported Release Rate (kg/h),EmissionRateUpper,EmissionRateLower,ReportLabel,ReportDate
2022-10-10 16:50:46,2022-10-10 17:46:00,,,,P,2022-10-10
2022-10-10 17:46:01,2022-10-10 18:01:59,0.0,0.0,0.0,N,2022-10-10
2022-10-10 18:02:00,2022-10-10 21:39:12,,,,P,2022-10-10
2022-10-10 21:39:13,2022-10-10 23:03:49,0.0,0.0,0.0,N,2022-10-10
2022-10-10 23:03:50,2022-10-10 23:59:59,,,,P,2022-10-10
2022-10-11 00:00:00,2022-10-11 00:11:08,,,,P,2022-10-11
2022-10-11 00:11:09,2022-10-11 16:54:55,0.0,0.0,0.0,N,2022-10-11
2022-10-11 16:54:56,2022-10-11 17:19:25,,,,P,2022-10-11
2022-10-11 17:19:26,2022-10-11 17:29:54,0.0,0.0,0.0,N,2022-10-11
2022-10-11 17:29:55,2022-10-11 19:31:52,,,,P,2022-10-11
2022-10-11 19:31:53,2022-10-11 19:44:01,0.0,0.0,0.0,N,2022-10-11
2022-10-11 19:44:02,2022-10-11 21:36:59,,,,P,2022-10-11
2022-10-11 21:37:00,2022-10-11 22:10:08,0.0,0.0,0.0,N,2022-10-11
2022-10-11 22:10:09,2022-10-11 22:14:00,,,,P,2022-10-11
2022-10-11 22:14:01,2022-10-11 22:15:58,0.0,0.0,0.0,N,2022-10-11
2022-10-11 22:15:59,2022-10-11 22:38:38,,,,P,2022-10-11
2022-10-11 22:38:39,2022-10-11 22:44:17,0.0,0.0,0.0,N,2022-10-11
2022-10-11 22:44:18,2022-10-11 23:03:00,,,,P,2022-10-11
2022-10-11 23:03:01,2022-10-11 23:26:36,0.0,0.0,0.0,N,2022-10-11
2022-10-11 23:26:37,2022-10-11 23:40:00,,,,P,2022-10-11
2022-10-11 23:40:01,2022-10-11 23:48:56,0.0,0.0,0.0,N,2022-10-11
2022-10-11 23:48:57,2022-10-11 23:59:59,,,,P,2022-10-11
2022-10-12 00:00:00,2022-10-12 00:02:47,,,,P,2022-10-12
2022-10-12 00:02:48,2022-10-12 15:47:01,0.0,0.0,0.0,N,2022-10-12
2022-10-12 15:47:02,2022-10-12 15:50:32,,,,P,2022-10-12
2022-10-12 15:50:33,2022-10-12 15:52:10,0.0,0.0,0.0,N,2022-10-12
2022-10-12 15:52:11,2022-10-12 16:19:00,,,,P,2022-10-12
2022-10-12 16:19:01,2022-10-12 17:05:07,0.0,0.0,0.0,N,2022-10-12
2022-10-12 17:05:08,2022-10-12 20:13:51,,,,P,2022-10-12
2022-10-12 20:13:52,2022-10-12 20:20:01,0.0,0.0,0.0,N,2022-10-12
2022-10-12 20:20:02,2022-10-12 20:55:00,,,,P,2022-10-12
2022-10-12 20:55:01,2022-10-12 21:07:08,0.0,0.0,0.0,N,2022-10-12
2022-10-12 21:07:09,2022-10-12 21:20:19,,,,P,2022-10-12
2022-10-12 21:20:20,2022-10-12 22:26:25,0.0,0.0,0.0,N,2022-10-12
2022-10-12 22:26:26,2022-10-12 22:42:05,,,,P,2022-10-12
2022-10-12 22:42:06,2022-10-12 23:59:59,0.0,0.0,0.0,N,2022-10-12
2022-10-13 00:00:00,2022-10-13 20:46:57,0.0,0.0,0.0,N,2022-10-13
2022-10-13 20:46:58,2022-10-13 21:01:17,,,,P,2022-10-13
2022-10-13 21:01:18,2022-10-13 21:14:55,0.0,0.0,0.0,N,2022-10-13
2022-10-13 21:14:56,2022-10-13 21:42:15,,,,P,2022-10-13
2022-10-13 21:42:16,2022-10-13 23:59:59,0.0,0.0,0.0,N,2022-10-13
2022-10-15 00:00:00,2022-10-15 23:59:59,0.0,0.0,0.0,N,2022-10-15
2022-10-16 00:00:00,2022-10-16 23:59:59,0.0,0.0,0.0,N,2022-10-16
2022-10-17 00:00:00,2022-10-17 17:02:39,0.0,0.0,0.0,N,2022-10-17
2022-10-17 17:02:40,2022-10-17 17:08:00,,,,P,2022-10-17
2022-10-17 17:08:01,2022-10-17 17:12:39,0.0,0.0,0.0,N,2022-10-17
2022-10-17 17:12:40,2022-10-17 17:37:00,,,,P,2022-10-17
2022-10-17 17:37:01,2022-10-17 17:50:06,0.0,0.0,0.0,N,2022-10-17
2022-10-17 17:50:07,2022-10-17 18:34:06,,,,P,2022-10-17
2022-10-17 18:34:07,2022-10-17 20:01:31,0.0,0.0,0.0,N,2022-10-17
2022-10-17 20:01:32,2022-10-17 20:11:01,,,,P,2022-10-17
2022-10-17 20:11:02,2022-10-17 21:15:57,0.0,0.0,0.0,N,2022-10-17
2022-10-17 21:15:58,2022-10-17 21:21:58,,,,P,2022-10-17
2022-10-17 21:21:59,2022-10-17 22:15:25,0.0,0.0,0.0,N,2022-10-17
2022-10-17 22:15:26,2022-10-17 22:39:25,,,,P,2022-10-17
2022-10-17 22:39:26,2022-10-17 23:59:59,0.0,0.0,0.0,N,2022-10-17
