EmissionStartDateTime,EmissionEndDateTime,Reported Release Rate (kg/h),EmissionRateUpper,EmissionRateLower,ReportLabel,ReportDate
2022-10-31 00:00:00,2022-10-31 16:14:59,0.0,0.0,0.0,N,2022-10-31
2022-10-31 16:15:00,2022-10-31 21:18:00,28.475249859977904,,,P,2022-10-31
2022-10-31 21:18:01,2022-10-31 23:59:59,0.0,0.0,0.0,N,2022-10-31
2022-11-15 00:00:00,2022-11-15 16:17:59,0.0,0.0,0.0,N,2022-11-15
2022-11-15 16:18:00,2022-11-15 22:11:00,1.8410373052025975,,,P,2022-11-15
2022-11-15 22:11:01,2022-11-15 23:59:59,0.0,0.0,0.0,N,2022-11-15
2022-11-16 00:00:00,2022-11-16 16:02:59,0.0,0.0,0.0,N,2022-11-16
2022-11-16 16:03:00,2022-11-16 19:22:00,3.910225912285392,,,P,2022-11-16
2022-11-16 19:22:01,2022-11-16 23:59:59,0.0,0.0,0.0,N,2022-11-16
2022-11-17 00:00:00,2022-11-17 16:35:59,0.0,0.0,0.0,N,2022-11-17
2022-11-17 16:36:00,2022-11-17 22:08:00,3.0627451331461226,,,P,2022-11-17
2022-11-17 22:08:01,2022-11-17 23:59:59,0.0,0.0,0.0,N,2022-11-17
2022-11-18 00:00:00,2022-11-18 15:03:59,0.0,0.0,0.0,N,2022-11-18
2022-11-18 15:04:00,2022-11-18 19:00:00,1.1641571238179844,,,P,2022-11-18
2022-11-18 19:00:01,2022-11-18 23:59:59,0.0,0.0,0.0,N,2022-11-18
2022-11-19 00:00:00,2022-11-19 23:59:59,0.0,0.0,0.0,N,2022-11-19
2022-11-20 00:00:00,2022-11-20 23:59:59,0.0,0.0,0.0,N,2022-11-20
2022-11-21 00:00:00,2022-11-21 15:23:59,0.0,0.0,0.0,N,2022-11-21
2022-11-21 15:24:00,2022-11-21 22:28:00,5.177539818386676,,,P,2022-11-21
2022-11-21 22:28:01,2022-11-21 23:59:59,0.0,0.0,0.0,N,2022-11-21
2022-11-22 00:00:00,2022-11-22 06:20:59,0.0,0.0,0.0,N,2022-11-22
2022-11-22 06:21:00,2022-11-22 07:16:00,4.059055840688171,,,P,2022-11-22
2022-11-22 07:16:01,2022-11-22 16:50:59,0.0,0.0,0.0,N,2022-11-22
2022-11-22 16:51:00,2022-11-22 20:55:00,9.650366914390812,,,P,2022-11-22
2022-11-22 20:55:01,2022-11-22 23:59:59,0.0,0.0,0.0,N,2022-11-22
2022-11-23 00:00:00,2022-11-23 16:23:59,0.0,0.0,0.0,N,2022-11-23
2022-11-23 16:24:00,2022-11-23 22:01:00,6.665325124019328,,,P,2022-11-23
2022-11-23 22:01:01,2022-11-23 23:59:59,0.0,0.0,0.0,N,2022-11-23
2022-11-24 00:00:00,2022-11-24 23:59:59,0.0,0.0,0.0,N,2022-11-24
2022-11-25 00:00:00,2022-11-25 23:59:59,0.0,0.0,0.0,N,2022-11-25
2022-11-26 00:00:00,2022-11-26 23:59:59,0.0,0.0,0.0,N,2022-11-26
2022-11-27 00:00:00,2022-11-27 23:59:59,0.0,0.0,0.0,N,2022-11-27
2022-11-28 00:00:00,2022-11-28 16:23:59,0.0,0.0,0.0,N,2022-11-28
2022-11-28 16:24:00,2022-11-28 19:33:00,1.6006691395630583,,,P,2022-11-28
2022-11-28 19:33:01,2022-11-28 23:59:59,0.0,0.0,0.0,N,2022-11-28
2022-11-29 00:00:00,2022-11-29 17:31:59,0.0,0.0,0.0,N,2022-11-29
2022-11-29 17:32:00,2022-11-29 18:33:00,44.10694347992136,,,P,2022-11-29
