EmissionStartDateTime,EmissionEndDateTime,Reported Release Rate (kg/h),EmissionRateUpper,EmissionRateLower,ReportLabel,ReportDate
2022-10-28 16:56:07,2022-10-28 16:56:22,,,,P,2022-10-28
2022-10-28 16:56:23,2022-10-28 16:56:51,0.0,0.0,0.0,N,2022-10-28
2022-10-28 16:56:52,2022-10-28 16:57:07,,,,P,2022-10-28
2022-10-28 16:57:08,2022-10-28 16:59:36,0.0,0.0,0.0,N,2022-10-28
2022-10-28 16:59:37,2022-10-28 17:00:52,,,,P,2022-10-28
2022-10-28 17:00:53,2022-10-28 17:09:06,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:09:07,2022-10-28 17:09:37,,,,P,2022-10-28
2022-10-28 17:09:38,2022-10-28 17:21:52,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:21:53,2022-10-28 17:22:08,,,,P,2022-10-28
2022-10-28 17:22:09,2022-10-28 17:29:22,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:29:23,2022-10-28 17:29:53,,,,P,2022-10-28
2022-10-28 17:29:54,2022-10-28 17:37:38,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:37:39,2022-10-28 17:38:24,,,,P,2022-10-28
2022-10-28 17:38:25,2022-10-28 17:39:38,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:39:39,2022-10-28 17:40:24,,,,P,2022-10-28
2022-10-28 17:40:25,2022-10-28 17:40:53,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:40:54,2022-10-28 17:41:39,,,,P,2022-10-28
2022-10-28 17:41:40,2022-10-28 17:43:23,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:43:24,2022-10-28 17:46:39,,,,P,2022-10-28
2022-10-28 17:46:40,2022-10-28 17:47:39,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:47:40,2022-10-28 17:47:55,,,,P,2022-10-28
2022-10-28 17:47:56,2022-10-28 17:50:39,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:50:40,2022-10-28 17:52:40,,,,P,2022-10-28
2022-10-28 17:52:41,2022-10-28 17:55:09,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:55:10,2022-10-28 17:56:40,,,,P,2022-10-28
2022-10-28 17:56:41,2022-10-28 17:57:09,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:57:10,2022-10-28 17:57:25,,,,P,2022-10-28
2022-10-28 17:57:26,2022-10-28 17:58:09,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:58:10,2022-10-28 17:58:25,,,,P,2022-10-28
2022-10-28 17:58:26,2022-10-28 17:59:09,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:59:10,2022-10-28 17:59:25,,,,P,2022-10-28
2022-10-28 17:59:26,2022-10-28 18:01:24,0.0,0.0,0.0,N,2022-10-28
2022-10-28 18:01:25,2022-10-28 18:01:40,,,,P,2022-10-28
2022-10-28 18:01:41,2022-10-28 18:03:24,0.0,0.0,0.0,N,2022-10-28
2022-10-28 18:03:25,2022-10-28 18:04:55,,,,P,2022-10-28
2022-10-28 18:04:56,2022-10-28 18:08:24,0.0,0.0,0.0,N,2022-10-28
2022-10-28 18:08:25,2022-10-28 18:10:40,,,,P,2022-10-28
2022-10-28 18:10:41,2022-10-28 18:11:09,0.0,0.0,0.0,N,2022-10-28
2022-10-28 18:11:10,2022-10-28 18:13:10,,,,P,2022-10-28
2022-10-28 18:13:11,2022-10-28 18:14:54,0.0,0.0,0.0,N,2022-10-28
