EmissionStartDateTime,EmissionEndDateTime,Reported Release Rate (kg/h),EmissionRateUpper,EmissionRateLower,ReportLabel,ReportDate
2022-10-10 16:51:00,2022-10-10 17:43:00,,,,P,2022-10-10
2022-10-10 17:43:01,2022-10-10 18:01:59,0,0,0,N,2022-10-10
2022-10-10 18:02:00,2022-10-10 21:39:00,,,,P,2022-10-10
2022-10-10 21:39:01,2022-10-10 23:25:59,0,0,0,N,2022-10-10
2022-10-10 23:26:00,2022-10-10 23:59:00,,,,P,2022-10-10
2022-10-10 23:59:01,2022-10-10 23:59:59,0,0,0,N,2022-10-10
2022-10-11 00:00:00,2022-10-11 15:55:00,,,,NA,2022-10-11
2022-10-11 15:55:01,2022-10-11 16:28:59,0,0,0,N,2022-10-11
2022-10-11 16:29:00,2022-10-11 16:31:00,,,,P,2022-10-11
2022-10-11 16:31:01,2022-10-11 16:45:59,0,0,0,N,2022-10-11
2022-10-11 16:46:00,2022-10-11 16:46:00,,,,P,2022-10-11
2022-10-11 16:46:01,2022-10-11 16:54:59,0,0,0,N,2022-10-11
2022-10-11 16:55:00,2022-10-11 17:19:00,,,,P,2022-10-11
2022-10-11 17:19:01,2022-10-11 17:29:59,0,0,0,N,2022-10-11
2022-10-11 17:30:00,2022-10-11 19:31:00,,,,P,2022-10-11
2022-10-11 19:31:01,2022-10-11 19:43:59,0,0,0,N,2022-10-11
2022-10-11 19:44:00,2022-10-11 21:33:00,,,,P,2022-10-11
2022-10-11 21:33:01,2022-10-11 22:09:59,0,0,0,N,2022-10-11
2022-10-11 22:10:00,2022-10-11 23:03:00,,,,P,2022-10-11
2022-10-11 23:03:01,2022-10-11 23:27:59,0,0,0,N,2022-10-11
2022-10-11 23:28:00,2022-10-11 23:39:00,,,,P,2022-10-11
2022-10-11 23:39:01,2022-10-11 23:48:59,0,0,0,N,2022-10-11
2022-10-11 23:49:00,2022-10-11 23:59:00,,,,P,2022-10-11
2022-10-11 23:59:01,2022-10-11 23:59:59,0,0,0,N,2022-10-11
2022-10-12 00:00:00,2022-10-12 14:49:00,,,,NA,2022-10-12
2022-10-12 14:49:01,2022-10-12 15:11:59,0,0,0,N,2022-10-12
2022-10-12 15:12:00,2022-10-12 15:12:00,,,,P,2022-10-12
2022-10-12 15:12:01,2022-10-12 15:46:59,0,0,0,N,2022-10-12
2022-10-12 15:47:00,2022-10-12 16:19:00,,,,P,2022-10-12
2022-10-12 16:19:01,2022-10-12 17:04:59,0,0,0,N,2022-10-12
2022-10-12 17:05:00,2022-10-12 20:53:00,,,,P,2022-10-12
2022-10-12 20:53:01,2022-10-12 21:06:59,0,0,0,N,2022-10-12
