EmissionStartDateTime,EmissionEndDateTime,Reported Release Rate (kg/h),EmissionRateUpper,EmissionRateLower,ReportLabel,ReportDate
2022-10-10 18:03:35,2022-10-10 18:35:32,12.47,12.68,12.25,P,2022-10-10
2022-10-10 18:35:33,2022-10-10 19:01:45,0.0,0.0,0.0,N,2022-10-10
2022-10-10 19:01:46,2022-10-10 20:23:57,17.26,17.51,17.03,P,2022-10-10
2022-10-10 20:23:58,2022-10-10 20:55:09,0.0,0.0,0.0,N,2022-10-10
2022-10-10 20:55:10,2022-10-10 21:23:00,27.57,28.01,27.13,P,2022-10-10
2022-10-10 21:23:01,2022-10-10 21:31:55,0.0,0.0,0.0,N,2022-10-10
2022-10-10 21:31:56,2022-10-10 21:42:50,8.65,9.05,8.25,P,2022-10-10
2022-10-10 21:42:51,2022-10-10 23:59:59,0.0,0.0,0.0,N,2022-10-10
2022-10-11 00:00:00,2022-10-11 17:30:29,0.0,0.0,0.0,N,2022-10-11
2022-10-11 17:30:30,2022-10-11 17:36:40,9.61,9.89,9.32,P,2022-10-11
2022-10-11 17:36:41,2022-10-11 17:41:25,0.0,0.0,0.0,N,2022-10-11
2022-10-11 17:41:26,2022-10-11 18:19:05,17.32,17.54,17.09,P,2022-10-11
2022-10-11 18:19:06,2022-10-11 18:23:13,0.0,0.0,0.0,N,2022-10-11
2022-10-11 18:23:14,2022-10-11 18:43:20,11.05,11.32,10.78,P,2022-10-11
2022-10-11 18:43:21,2022-10-11 18:43:59,0.0,0.0,0.0,N,2022-10-11
2022-10-11 18:44:00,2022-10-11 19:06:18,20.11,20.48,19.75,P,2022-10-11
2022-10-11 19:06:19,2022-10-11 20:06:29,0.0,0.0,0.0,N,2022-10-11
2022-10-11 20:06:30,2022-10-11 20:30:30,16.55,16.8,16.3,P,2022-10-11
2022-10-11 20:30:31,2022-10-11 20:39:48,0.0,0.0,0.0,N,2022-10-11
2022-10-11 20:39:49,2022-10-11 20:40:49,7.7,8.03,7.36,P,2022-10-11
2022-10-11 20:40:50,2022-10-11 20:55:19,0.0,0.0,0.0,N,2022-10-11
2022-10-11 20:55:20,2022-10-11 21:18:20,15.56,15.81,15.32,P,2022-10-11
2022-10-11 21:18:21,2022-10-11 22:19:59,0.0,0.0,0.0,N,2022-10-11
2022-10-11 22:20:00,2022-10-11 22:33:29,14.76,15.06,14.46,P,2022-10-11
2022-10-11 22:33:29,2022-10-11 22:38:56,,,,NA,2022-10-11
2022-10-11 22:38:57,2022-10-11 22:46:14,0.0,0.0,0.0,N,2022-10-11
2022-10-11 22:46:15,2022-10-11 23:03:15,14.13,14.37,13.9,P,2022-10-11
2022-10-11 23:03:16,2022-10-11 23:30:26,0.0,0.0,0.0,N,2022-10-11
2022-10-11 23:30:27,2022-10-11 23:39:20,8.88,9.21,8.56,P,2022-10-11
2022-10-11 23:39:21,2022-10-11 23:50:54,0.0,0.0,0.0,N,2022-10-11
2022-10-11 23:50:55,2022-10-11 23:59:56,7.03,7.25,6.8,P,2022-10-11
2022-10-11 23:59:57,2022-10-11 23:59:59,0.0,0.0,0.0,N,2022-10-11
2022-10-12 00:00:00,2022-10-12 15:57:05,0.0,0.0,0.0,N,2022-10-12
2022-10-12 15:57:06,2022-10-12 16:18:16,9.84,10.08,9.6,P,2022-10-12
2022-10-12 16:18:16,2022-10-12 16:19:39,,,,NA,2022-10-12
2022-10-12 16:19:40,2022-10-12 17:05:48,0.0,0.0,0.0,N,2022-10-12
2022-10-12 17:05:49,2022-10-12 17:28:43,9.83,10.06,9.59,P,2022-10-12
2022-10-12 17:28:44,2022-10-12 17:42:54,0.0,0.0,0.0,N,2022-10-12
2022-10-12 17:42:55,2022-10-12 17:48:35,5.65,5.83,5.47,P,2022-10-12
2022-10-12 17:48:36,2022-10-12 17:58:59,0.0,0.0,0.0,N,2022-10-12
2022-10-12 17:59:00,2022-10-12 18:27:50,9.66,9.8,9.52,P,2022-10-12
2022-10-12 18:27:51,2022-10-12 18:43:29,0.0,0.0,0.0,N,2022-10-12
2022-10-12 18:43:30,2022-10-12 19:02:15,11.12,11.34,10.89,P,2022-10-12
2022-10-12 19:02:16,2022-10-12 19:05:00,0.0,0.0,0.0,N,2022-10-12
2022-10-12 19:05:01,2022-10-12 19:12:00,6.25,6.37,6.12,P,2022-10-12
2022-10-12 19:12:01,2022-10-12 19:20:39,0.0,0.0,0.0,N,2022-10-12
2022-10-12 19:20:40,2022-10-12 19:33:30,6.58,6.69,6.46,P,2022-10-12
2022-10-12 19:33:31,2022-10-12 20:00:05,0.0,0.0,0.0,N,2022-10-12
2022-10-12 20:00:06,2022-10-12 20:13:31,14.02,14.29,13.75,P,2022-10-12
2022-10-12 20:13:32,2022-10-12 20:20:26,0.0,0.0,0.0,N,2022-10-12
2022-10-12 20:20:27,2022-10-12 20:53:40,10.42,10.55,10.28,P,2022-10-12
2022-10-12 20:53:41,2022-10-12 21:07:16,0.0,0.0,0.0,N,2022-10-12
2022-10-12 21:07:17,2022-10-12 21:20:05,19.21,19.6,18.81,P,2022-10-12
2022-10-12 21:20:06,2022-10-12 22:31:09,0.0,0.0,0.0,N,2022-10-12
2022-10-12 22:31:10,2022-10-12 22:41:36,31.35,32.12,30.59,P,2022-10-12
2022-10-12 22:41:37,2022-10-12 23:59:59,0.0,0.0,0.0,N,2022-10-12
2022-10-13 00:00:00,2022-10-13 20:46:57,0.0,0.0,0.0,N,2022-10-13
2022-10-13 20:46:58,2022-10-13 20:58:42,12.97,13.29,12.65,P,2022-10-13
2022-10-13 20:58:43,2022-10-13 21:17:04,0.0,0.0,0.0,N,2022-10-13
2022-10-13 21:17:05,2022-10-13 21:42:09,22.2,22.51,21.89,P,2022-10-13
2022-10-13 21:42:10,2022-10-13 23:59:59,0.0,0.0,0.0,N,2022-10-13
2022-10-15 00:00:00,2022-10-15 00:11:58,0.0,0.0,0.0,N,2022-10-15
2022-10-15 00:11:59,2022-10-15 23:59:59,,,,NA,2022-10-15
2022-10-16 00:00:00,2022-10-16 23:59:59,0.0,0.0,0.0,N,2022-10-16
