EmissionStartDateTime,EmissionEndDateTime,Reported Release Rate (kg/h),EmissionRateUpper,EmissionRateLower,ReportLabel,ReportDate
2022-10-10 16:50:00,2022-10-10 17:18:00,4.2388,4.2388,4.2388,P,2022-10-10
2022-10-10 17:18:01,2022-10-10 17:43:59,0.0,0.0,0.0,N,2022-10-10
2022-10-10 17:44:00,2022-10-10 17:53:00,2.0676,2.0676,2.0547,P,2022-10-10
2022-10-10 17:53:01,2022-10-10 18:10:59,0.0,0.0,0.0,N,2022-10-10
2022-10-10 18:11:00,2022-10-10 21:47:00,28.6934,28.9482,25.3113999999999,P,2022-10-10
2022-10-10 21:47:01,2022-10-10 23:14:59,0.0,0.0,0.0,N,2022-10-10
2022-10-10 23:15:00,2022-10-10 23:22:00,2.2,2.2,2.2,P,2022-10-10
2022-10-10 23:22:01,2022-10-10 23:40:59,0.0,0.0,0.0,N,2022-10-10
2022-10-10 23:41:00,2022-10-10 23:59:59,4.5166,4.5166,3.5274,P,2022-10-10
2022-10-11 00:00:00,2022-10-11 00:17:00,4.5166,4.5166,3.5274,P,2022-10-11
2022-10-11 00:17:01,2022-10-11 16:57:59,0.0,0.0,0.0,N,2022-10-11
2022-10-11 16:58:00,2022-10-11 18:35:00,12.6655,13.8773,8.1294,P,2022-10-11
2022-10-11 18:35:01,2022-10-11 18:48:59,0.0,0.0,0.0,N,2022-10-11
2022-10-11 18:49:00,2022-10-11 21:41:00,20.4713,20.5613,15.448,P,2022-10-11
2022-10-11 21:41:01,2022-10-11 22:14:59,0.0,0.0,0.0,N,2022-10-11
2022-10-11 22:15:00,2022-10-11 23:59:59,33.1722,33.5565,29.6486,P,2022-10-11
2022-10-12 00:00:00,2022-10-12 00:11:00,33.1722,33.5565,29.6486,P,2022-10-12
2022-10-12 00:11:01,2022-10-12 14:50:59,0.0,0.0,0.0,N,2022-10-12
2022-10-12 14:51:00,2022-10-12 15:01:00,1.9878,5.035100000000001,0.7301999999999991,P,2022-10-12
2022-10-12 15:01:01,2022-10-12 16:07:59,0.0,0.0,0.0,N,2022-10-12
2022-10-12 16:08:00,2022-10-12 16:48:00,3.4343,4.6613999999999995,1.437,P,2022-10-12
2022-10-12 16:48:01,2022-10-12 17:08:59,0.0,0.0,0.0,N,2022-10-12
2022-10-12 17:09:00,2022-10-12 19:09:00,17.4429,17.4612,16.786099999999998,P,2022-10-12
2022-10-12 19:09:01,2022-10-12 19:22:59,0.0,0.0,0.0,N,2022-10-12
2022-10-12 19:23:00,2022-10-12 21:28:00,25.0326,25.299799999999998,21.7965,P,2022-10-12
2022-10-12 21:28:01,2022-10-12 22:27:59,0.0,0.0,0.0,N,2022-10-12
2022-10-12 22:28:00,2022-10-12 22:50:00,47.3545,49.8575,36.817099999999996,P,2022-10-12
2022-10-12 22:50:01,2022-10-12 23:06:59,0.0,0.0,0.0,N,2022-10-12
2022-10-12 23:07:00,2022-10-12 23:16:00,15.9952,15.9952,12.0976,P,2022-10-12
2022-10-12 23:16:01,2022-10-12 23:59:59,0.0,0.0,0.0,N,2022-10-12
2022-10-13 00:00:00,2022-10-13 20:51:59,0.0,0.0,0.0,N,2022-10-13
2022-10-13 20:52:00,2022-10-13 21:52:00,32.9013,32.9261,26.763,P,2022-10-13
2022-10-13 21:52:01,2022-10-13 23:59:59,0.0,0.0,0.0,N,2022-10-13
2022-10-15 00:00:00,2022-10-15 23:59:59,0.0,0.0,0.0,N,2022-10-15
2022-10-16 00:00:00,2022-10-16 23:59:59,0.0,0.0,0.0,N,2022-10-16
2022-10-17 00:00:00,2022-10-17 17:06:59,0.0,0.0,0.0,N,2022-10-17
2022-10-17 17:07:00,2022-10-17 18:45:00,25.509,25.509,25.0954,P,2022-10-17
2022-10-17 18:45:01,2022-10-17 19:51:59,0.0,0.0,0.0,N,2022-10-17
2022-10-17 19:52:00,2022-10-17 20:20:00,17.8937,17.8937,15.6749,P,2022-10-17
2022-10-17 20:20:01,2022-10-17 21:07:59,0.0,0.0,0.0,N,2022-10-17
2022-10-17 21:08:00,2022-10-17 21:17:00,3.1254,3.1731,1.4832,P,2022-10-17
2022-10-17 21:17:01,2022-10-17 22:21:59,0.0,0.0,0.0,N,2022-10-17
2022-10-17 22:22:00,2022-10-17 23:08:00,41.7895,41.7895,38.8534,P,2022-10-17
2022-10-17 23:08:01,2022-10-17 23:59:59,0.0,0.0,0.0,N,2022-10-17
2022-10-23 00:00:00,2022-10-23 23:59:59,0.0,0.0,0.0,N,2022-10-23
2022-10-24 00:00:00,2022-10-24 17:48:59,0.0,0.0,0.0,N,2022-10-24
2022-10-24 17:49:00,2022-10-24 18:53:00,11.9243,12.8522,7.9656,P,2022-10-24
2022-10-24 18:53:01,2022-10-24 19:19:59,0.0,0.0,0.0,N,2022-10-24
2022-10-24 19:20:00,2022-10-24 19:29:00,4.7487,4.7486999999999995,2.243,P,2022-10-24
2022-10-24 19:29:01,2022-10-24 22:06:59,0.0,0.0,0.0,N,2022-10-24
2022-10-24 22:07:00,2022-10-24 22:36:00,22.4091,22.4091,22.4091,P,2022-10-24
2022-10-24 22:36:01,2022-10-24 23:59:59,0.0,0.0,0.0,N,2022-10-24
2022-10-25 00:00:00,2022-10-25 16:46:59,0.0,0.0,0.0,N,2022-10-25
2022-10-25 16:47:00,2022-10-25 16:55:00,1.8296,1.8296,1.8296,P,2022-10-25
2022-10-25 16:55:01,2022-10-25 17:15:59,0.0,0.0,0.0,N,2022-10-25
2022-10-25 17:16:00,2022-10-25 18:16:00,27.5784,27.5783999999999,26.5527,P,2022-10-25
2022-10-25 18:16:01,2022-10-25 18:34:59,0.0,0.0,0.0,N,2022-10-25
2022-10-25 18:35:00,2022-10-25 19:01:00,31.0346,31.034599999999998,31.0126,P,2022-10-25
2022-10-25 19:01:01,2022-10-25 19:15:59,0.0,0.0,0.0,N,2022-10-25
2022-10-25 19:16:00,2022-10-25 20:56:00,12.5358,12.5596999999999,11.145299999999999,P,2022-10-25
2022-10-25 20:56:01,2022-10-25 23:59:59,0.0,0.0,0.0,N,2022-10-25
2022-10-26 00:00:00,2022-10-26 17:34:59,0.0,0.0,0.0,N,2022-10-26
2022-10-26 17:35:00,2022-10-26 17:46:00,3.7968,3.7968,2.019,P,2022-10-26
2022-10-26 17:46:01,2022-10-26 18:05:59,0.0,0.0,0.0,N,2022-10-26
2022-10-26 18:06:00,2022-10-26 18:26:00,8.8325,9.0707,3.2822,P,2022-10-26
2022-10-26 18:26:01,2022-10-26 19:50:59,0.0,0.0,0.0,N,2022-10-26
2022-10-26 19:51:00,2022-10-26 20:14:00,11.3209,11.3928,10.949399999999999,P,2022-10-26
2022-10-26 20:14:01,2022-10-26 23:59:59,0.0,0.0,0.0,N,2022-10-26
2022-10-27 00:00:00,2022-10-27 17:11:59,0.0,0.0,0.0,N,2022-10-27
2022-10-27 17:12:00,2022-10-27 17:28:00,8.1779,8.3199,4.6466,P,2022-10-27
2022-10-27 17:28:01,2022-10-27 17:51:59,0.0,0.0,0.0,N,2022-10-27
2022-10-27 17:52:00,2022-10-27 18:01:00,4.3473,7.248,1.5295,P,2022-10-27
2022-10-27 18:01:01,2022-10-27 20:11:59,0.0,0.0,0.0,N,2022-10-27
2022-10-27 20:12:00,2022-10-27 20:20:00,5.8454,6.3294,2.0393,P,2022-10-27
2022-10-27 20:20:01,2022-10-27 23:59:59,0.0,0.0,0.0,N,2022-10-27
2022-10-28 00:00:00,2022-10-28 17:05:59,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:06:00,2022-10-28 17:12:00,2.0814,3.7945,0.7395,P,2022-10-28
2022-10-28 17:12:01,2022-10-28 17:35:59,0.0,0.0,0.0,N,2022-10-28
2022-10-28 17:36:00,2022-10-28 17:45:00,2.9253,4.2543999999999995,1.0323,P,2022-10-28
2022-10-28 17:45:01,2022-10-28 18:39:59,0.0,0.0,0.0,N,2022-10-28
2022-10-28 18:40:00,2022-10-28 19:09:00,6.3568,6.668,2.413,P,2022-10-28
2022-10-28 19:09:01,2022-10-28 19:32:59,0.0,0.0,0.0,N,2022-10-28
2022-10-28 19:33:00,2022-10-28 19:55:00,8.4497,8.4497,8.13429999999999,P,2022-10-28
2022-10-28 19:55:01,2022-10-28 20:17:59,0.0,0.0,0.0,N,2022-10-28
2022-10-28 20:18:00,2022-10-28 20:27:00,4.3507,4.3507,4.1703,P,2022-10-28
2022-10-28 20:27:01,2022-10-28 20:43:59,0.0,0.0,0.0,N,2022-10-28
2022-10-28 20:44:00,2022-10-28 20:59:00,9.1039,11.3007,4.3149,P,2022-10-28
2022-10-28 20:59:01,2022-10-28 21:54:59,0.0,0.0,0.0,N,2022-10-28
2022-10-28 21:55:00,2022-10-28 22:47:00,13.8429,14.0079,10.3544,P,2022-10-28
2022-10-28 22:47:01,2022-10-28 23:59:59,0.0,0.0,0.0,N,2022-10-28
2022-10-29 00:00:00,2022-10-29 16:34:59,0.0,0.0,0.0,N,2022-10-29
2022-10-29 16:35:00,2022-10-29 16:50:00,12.5306,12.8239,9.8173,P,2022-10-29
2022-10-29 16:50:01,2022-10-29 17:06:59,0.0,0.0,0.0,N,2022-10-29
2022-10-29 17:07:00,2022-10-29 21:32:00,43.1232,43.418699999999994,38.771,P,2022-10-29
2022-10-29 21:32:01,2022-10-29 23:59:59,0.0,0.0,0.0,N,2022-10-29
2022-10-30 00:00:00,2022-10-30 23:59:59,0.0,0.0,0.0,N,2022-10-30
2022-10-31 00:00:00,2022-10-31 16:22:59,0.0,0.0,0.0,N,2022-10-31
2022-10-31 16:23:00,2022-10-31 16:28:00,2.1664,5.5616,0.7822,P,2022-10-31
2022-10-31 16:28:01,2022-10-31 17:06:59,0.0,0.0,0.0,N,2022-10-31
2022-10-31 17:07:00,2022-10-31 21:28:00,46.6596,48.8849,41.653799999999904,P,2022-10-31
2022-10-31 21:28:01,2022-10-31 23:59:59,0.0,0.0,0.0,N,2022-10-31
2022-11-01 00:00:00,2022-11-01 18:50:59,0.0,0.0,0.0,N,2022-11-01
2022-11-01 18:51:00,2022-11-01 19:01:00,17.063,17.6824,7.8412,P,2022-11-01
2022-11-01 19:01:01,2022-11-01 19:15:59,0.0,0.0,0.0,N,2022-11-01
2022-11-01 19:16:00,2022-11-01 19:24:00,24.4402,24.4402,13.7096999999999,P,2022-11-01
2022-11-01 19:24:01,2022-11-01 23:59:59,0.0,0.0,0.0,N,2022-11-01
2022-11-02 00:00:00,2022-11-02 16:58:59,0.0,0.0,0.0,N,2022-11-02
2022-11-02 16:59:00,2022-11-02 18:42:00,30.9335,54.1216,11.415,P,2022-11-02
2022-11-02 18:42:01,2022-11-02 23:59:59,0.0,0.0,0.0,N,2022-11-02
2022-11-03 00:00:00,2022-11-03 17:43:59,0.0,0.0,0.0,N,2022-11-03
2022-11-03 17:44:00,2022-11-03 18:23:00,10.3351,21.7503999999999,3.6582,P,2022-11-03
2022-11-03 18:23:01,2022-11-03 18:48:59,0.0,0.0,0.0,N,2022-11-03
2022-11-03 18:49:00,2022-11-03 19:05:00,22.8472,44.9536,8.1462,P,2022-11-03
2022-11-03 19:05:01,2022-11-03 23:59:59,0.0,0.0,0.0,N,2022-11-03
2022-11-04 00:00:00,2022-11-04 16:52:59,0.0,0.0,0.0,N,2022-11-04
2022-11-04 16:53:00,2022-11-04 17:03:00,2.5337,2.5336999999999996,2.5336999999999996,P,2022-11-04
2022-11-04 17:03:01,2022-11-04 17:45:59,0.0,0.0,0.0,N,2022-11-04
2022-11-04 17:46:00,2022-11-04 18:13:00,7.6529,7.794,4.1605,P,2022-11-04
2022-11-04 18:13:01,2022-11-04 18:27:59,0.0,0.0,0.0,N,2022-11-04
2022-11-04 18:28:00,2022-11-04 20:41:00,9.0077,9.1563,6.2061,P,2022-11-04
2022-11-04 20:41:01,2022-11-04 23:59:59,0.0,0.0,0.0,N,2022-11-04
2022-11-05 00:00:00,2022-11-05 23:59:59,0.0,0.0,0.0,N,2022-11-05
2022-11-06 00:00:00,2022-11-06 23:59:59,0.0,0.0,0.0,N,2022-11-06
2022-11-07 00:00:00,2022-11-07 18:02:59,0.0,0.0,0.0,N,2022-11-07
2022-11-07 18:03:00,2022-11-07 18:20:00,18.3966,18.3966,15.7912,P,2022-11-07
2022-11-07 18:20:01,2022-11-07 19:24:59,0.0,0.0,0.0,N,2022-11-07
