EmissionStartDateTime,EmissionEndDateTime,Reported Release Rate (kg/h),EmissionRateUpper,EmissionRateLower,ReportLabel,ReportDate
2022-10-10 16:51:00,2022-10-10 22:27:00,129.7,194.55,86.4,P,2022-10-10
2022-10-10 22:27:01,2022-10-10 23:12:59,0.0,0.0,0.0,N,2022-10-10
2022-10-10 23:13:00,2022-10-10 23:59:59,43.4,65.1,28.9,P,2022-10-10
2022-10-11 00:00:00,2022-10-11 00:22:00,43.4,65.1,28.9,P,2022-10-11
2022-10-11 00:22:01,2022-10-11 16:27:59,0.0,0.0,0.0,N,2022-10-11
2022-10-11 16:28:00,2022-10-11 21:38:00,13.8,20.7,9.2,P,2022-10-11
2022-10-11 21:38:01,2022-10-11 22:10:59,0.0,0.0,0.0,N,2022-10-11
2022-10-11 22:11:00,2022-10-11 23:59:59,31.5,47.25,21.0,P,2022-10-11
2022-10-12 00:00:00,2022-10-12 00:11:00,31.5,47.25,21.0,P,2022-10-12
2022-10-12 00:11:01,2022-10-12 14:51:59,0.0,0.0,0.0,N,2022-10-12
2022-10-12 14:52:00,2022-10-12 22:48:00,23.5,35.25,15.6,P,2022-10-12
2022-10-12 22:48:01,2022-10-12 23:59:59,0.0,0.0,0.0,N,2022-10-12
2022-10-13 00:00:00,2022-10-13 03:26:59,0.0,0.0,0.0,N,2022-10-13
2022-10-13 03:27:00,2022-10-13 04:11:00,,,,P,2022-10-13
2022-10-13 04:11:01,2022-10-13 20:50:59,0.0,0.0,0.0,N,2022-10-13
2022-10-13 20:51:00,2022-10-13 21:53:00,2.3,3.45,1.53,P,2022-10-13
2022-10-13 21:53:01,2022-10-13 22:56:59,0.0,0.0,0.0,N,2022-10-13
2022-10-13 22:57:00,2022-10-13 23:09:00,,,,P,2022-10-13
2022-10-13 23:09:01,2022-10-13 23:59:59,0.0,0.0,0.0,N,2022-10-13
2022-10-15 00:00:00,2022-10-15 23:59:59,0.0,0.0,0.0,N,2022-10-15
2022-10-16 00:00:00,2022-10-16 23:59:59,0.0,0.0,0.0,N,2022-10-16
2022-10-17 00:00:00,2022-10-17 16:21:59,0.0,0.0,0.0,N,2022-10-17
2022-10-17 16:22:00,2022-10-17 23:10:00,11.2,16.8,7.46,P,2022-10-17
2022-10-17 23:10:01,2022-10-17 23:59:59,0.0,0.0,0.0,N,2022-10-17
2022-10-23 00:00:00,2022-10-23 23:59:59,0.0,0.0,0.0,N,2022-10-23
2022-10-24 00:00:00,2022-10-24 17:32:59,0.0,0.0,0.0,N,2022-10-24
2022-10-24 17:33:00,2022-10-24 19:43:00,,,,P,2022-10-24
2022-10-24 19:43:01,2022-10-24 21:56:59,0.0,0.0,0.0,N,2022-10-24
2022-10-24 21:57:00,2022-10-24 23:37:00,,,,P,2022-10-24
2022-10-24 23:37:01,2022-10-24 23:59:59,0.0,0.0,0.0,N,2022-10-24
