datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,,,,,,,,1,2022-10-10 16:15:00,
,,,,,,,,1,2022-10-10 16:15:01,
,,,,,,,,1,2022-10-10 16:15:02,
,,,,,,,,1,2022-10-10 16:15:03,
,,,,,,,,1,2022-10-10 16:15:04,
,,,,,,,,1,2022-10-10 16:15:05,
,,,,,,,,1,2022-10-10 16:15:06,
,,,,,,,,1,2022-10-10 16:15:07,
,,,,,,,,1,2022-10-10 16:15:08,
,,,,,,,,1,2022-10-10 16:15:09,
,,,,,,,,1,2022-10-10 16:15:10,
,,,,,,,,1,2022-10-10 16:15:11,
,,,,,,,,1,2022-10-10 16:15:12,
,,,,,,,,1,2022-10-10 16:15:13,
,,,,,,,,1,2022-10-10 16:15:14,
,,,,,,,,1,2022-10-10 16:15:15,
,,,,,,,,1,2022-10-10 16:15:16,
,,,,,,,,1,2022-10-10 16:15:17,
,,,,,,,,1,2022-10-10 16:15:18,
,,,,,,,,1,2022-10-10 16:15:19,
,,,,,,,,1,2022-10-10 16:15:20,
,,,,,,,,1,2022-10-10 16:15:21,
,,,,,,,,1,2022-10-10 16:15:22,
,,,,,,,,1,2022-10-10 16:15:23,
,,,,,,,,1,2022-10-10 16:15:24,
,,,,,,,,1,2022-10-10 16:15:25,
,,,,,,,,1,2022-10-10 16:15:26,
,,,,,,,,1,2022-10-10 16:15:27,
,,,,,,,,1,2022-10-10 16:15:28,
,,,,,,,,1,2022-10-10 16:15:29,
,,,,,,,,1,2022-10-10 16:15:30,
,,,,,,,,1,2022-10-10 16:15:31,
,,,,,,,,1,2022-10-10 16:15:32,
,,,,,,,,1,2022-10-10 16:15:33,
,,,,,,,,1,2022-10-10 16:15:34,
,,,,,,,,1,2022-10-10 16:15:35,
,,,,,,,,1,2022-10-10 16:15:36,
,,,,,,,,1,2022-10-10 16:15:37,
,,,,,,,,1,2022-10-10 16:15:38,
,,,,,,,,1,2022-10-10 16:15:39,
,,,,,,,,1,2022-10-10 16:15:40,
,,,,,,,,1,2022-10-10 16:15:41,
,,,,,,,,1,2022-10-10 16:15:42,
,,,,,,,,1,2022-10-10 16:15:43,
,,,,,,,,1,2022-10-10 16:15:44,
,,,,,,,,1,2022-10-10 16:15:45,
,,,,,,,,1,2022-10-10 16:15:46,
,,,,,,,,1,2022-10-10 16:15:47,
,,,,,,,,1,2022-10-10 16:15:48,
,,,,,,,,1,2022-10-10 16:15:49,
,,,,,,,,1,2022-10-10 16:15:50,
,,,,,,,,1,2022-10-10 16:15:51,
,,,,,,,,1,2022-10-10 16:15:52,
,,,,,,,,1,2022-10-10 16:15:53,
,,,,,,,,1,2022-10-10 16:15:54,
,,,,,,,,1,2022-10-10 16:15:55,
,,,,,,,,1,2022-10-10 16:15:56,
,,,,,,,,1,2022-10-10 16:15:57,
,,,,,,,,1,2022-10-10 16:15:58,
,,,,,,,,1,2022-10-10 16:15:59,
,,,,,,,,1,2022-10-10 16:16:00,
,,,,,,,,1,2022-10-10 16:16:01,
,,,,,,,,1,2022-10-10 16:16:02,
,,,,,,,,1,2022-10-10 16:16:03,
,,,,,,,,1,2022-10-10 16:16:04,
