datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:07,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:08,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:09,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:10,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:11,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:12,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:13,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:14,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:15,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:16,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:17,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:18,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:19,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:20,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:21,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:22,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:23,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:24,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:25,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:26,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:27,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:28,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:29,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:30,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:31,
,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1,2022-10-24 14:50:32,
