sensor,threshold,samples,TP(%),FP(%),FN(%),TN(%),TPR(%),FPR(%),FNR(%),TNR(%),Accuracy(%),Precision(%)
Andium,1,3128980,191798(6.13),4379(0.14),141025(4.51),2791778(89.22),57.63,0.16,42.37,99.84,95.35,97.77
Andium,2,3128980,191798(6.13),4379(0.14),141025(4.51),2791778(89.22),57.63,0.16,42.37,99.84,95.35,97.77
Andium,4,3128980,191798(6.13),4379(0.14),141025(4.51),2791778(89.22),57.63,0.16,42.37,99.84,95.35,97.77
Canary,1,1354559,137554(10.15),20941(1.55),5319(0.39),1190745(87.91),96.28,1.73,3.72,98.27,98.06,86.79
Canary,2,1354747,139394(10.29),19236(1.42),5487(0.41),1190630(87.89),96.21,1.59,3.79,98.41,98.18,87.87
Canary,4,1355140,141854(10.47),17058(1.26),5831(0.43),1190397(87.84),96.05,1.41,3.95,98.59,98.31,89.27
Ecoteco,1,2638554,25647(0.97),22397(0.85),238015(9.02),2352495(89.16),9.73,0.94,90.27,99.06,90.13,53.38
Ecoteco,2,2639159,25948(0.98),22202(0.84),241302(9.14),2349707(89.03),9.71,0.94,90.29,99.06,90.02,53.89
Ecoteco,4,2639928,26181(0.99),22026(0.83),246824(9.35),2344897(88.82),9.59,0.93,90.41,99.07,89.82,54.31
Kuva,1,914142,267398(29.25),9048(0.99),57178(6.25),580518(63.50),82.38,1.53,17.62,98.47,92.76,96.73
Kuva,2,914142,267398(29.25),9048(0.99),57178(6.25),580518(63.50),82.38,1.53,17.62,98.47,92.76,96.73
Kuva,4,914142,267398(29.25),9048(0.99),57178(6.25),580518(63.50),82.38,1.53,17.62,98.47,92.76,96.73
Oiler,1,1081843,72248(6.68),2404(0.22),57696(5.33),949495(87.77),55.6,0.25,44.4,99.75,94.44,96.78
Oiler,2,1081843,72248(6.68),2404(0.22),57696(5.33),949495(87.77),55.6,0.25,44.4,99.75,94.44,96.78
Oiler,4,1081843,72248(6.68),2404(0.22),57696(5.33),949495(87.77),55.6,0.25,44.4,99.75,94.44,96.78
Qube,1,3146525,185652(5.90),22513(0.72),167307(5.32),2771053(88.07),52.6,0.81,47.4,99.19,93.97,89.19
Qube,2,3147247,188323(5.98),20255(0.64),169929(5.40),2768740(87.97),52.57,0.73,47.43,99.27,93.96,90.29
Qube,4,3148424,192101(6.10),17307(0.55),173461(5.51),2765555(87.84),52.55,0.62,47.45,99.38,93.94,91.74
Sensirion,1,3738264,329410(8.81),95898(2.57),36546(0.98),3276410(87.65),90.01,2.84,9.99,97.16,96.46,77.45
Sensirion,2,3738986,333671(8.92),92137(2.46),38007(1.02),3275171(87.60),89.77,2.74,10.23,97.26,96.52,78.36
Sensirion,4,3740124,339038(9.06),87424(2.34),40292(1.08),3273370(87.52),89.38,2.6,10.62,97.4,96.59,79.5
Soofie,1,2528154,180031(7.12),203689(8.06),28988(1.15),2115446(83.68),86.13,8.78,13.87,91.22,90.8,46.92
Soofie,2,2528490,182773(7.23),201239(7.96),29244(1.16),2115234(83.66),86.21,8.69,13.79,91.31,90.88,47.6
Soofie,4,2529363,187120(7.40),197679(7.82),29720(1.17),2114844(83.61),86.29,8.55,13.71,91.45,91.01,48.63
